@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
78,'2019/05/28 21:03:42:434',1,0.77539,0.071336,0.658612,0.174973,-0.018114,-0.021172,0.304437,0.131433,0.155426,0.284264,0.44289,0.283642,0.178033,1,0,0,0
79,'2019/05/28 21:03:42:452',1,0.934055,0.058884,0.568907,0.127142,0.122032,-0.026252,0.16072,0.154926,0.170666,0.172821,0.265003,0.186116,0.300231,1,0,0,0
80,'2019/05/28 21:03:42:468',1,1.033454,0.068387,0.730813,0.362306,0.253402,0.047484,0.01842,0.13802,0.231654,0.368155,0.305934,0.198548,0.231244,1,0,0,0
81,'2019/05/28 21:03:42:485',1,0.889445,0.108575,0.738037,0.362665,0.166637,0.078295,0.231246,0.224365,0.205496,0.27087,0.19131,0.125158,0.170572,1,0,0,0
82,'2019/05/28 21:03:42:501',1,1.017069,0.175804,0.537599,0.012165,0.179306,0.062709,0.179105,0.244332,0.147032,0.134821,0.382134,0.288505,0.20411,1,0,0,0
83,'2019/05/28 21:03:42:518',1,1.065506,0.163758,0.607409,0.147954,-0.05379,0.032326,0.18174,0.231525,0.191088,0.180463,0.229236,0.262167,0.284641,1,0,0,0
84,'2019/05/28 21:03:42:534',1,0.95201,0.208071,0.71566,0.136422,0.045688,-0.080904,0.07966,0.098326,0.266299,0.316338,0.255133,0.15258,0.210003,1,0,0,0
85,'2019/05/28 21:03:42:552',1,1.037498,0.121448,0.68192,0.146322,0.052486,0.033751,0.191696,0.244526,0.174516,0.161852,0.303932,0.247229,0.243461,1,0,0,0
86,'2019/05/28 21:03:42:568',1,0.880401,0.031307,0.785638,0.412003,0.181089,0.09356,0.147269,0.124079,0.164616,0.308179,0.320306,0.290259,0.181102,1,0,0,0
87,'2019/05/28 21:03:42:585',1,0.905185,0.214212,0.861805,0.248191,0.178847,-0.064317,0.187411,0.182455,0.14335,0.153737,0.22777,0.235877,0.212316,1,0,0,0
